date,mean
2019-05-10 07:38:14,-8.85493436679469e-07
2019-05-10 09:18:13,4.761347099702107e-06
2019-05-10 11:03:13,4.8311910040507e-06
2019-05-11 02:23:14,-7.832888624339903e-06
2019-05-11 04:03:13,-4.601089154499821e-06
2019-05-11 07:23:14,1.2644246652540325e-06
2019-05-11 09:03:13,2.067603862567833e-06
2019-05-11 10:43:14,4.168527242353302e-06
2019-05-29 06:43:41,2.187954066812381e-07
2019-05-29 08:23:40,2.6881036647592607e-06
2019-05-29 10:03:41,2.066843990178313e-06
2019-05-29 11:43:40,7.551448106823955e-07
2020-03-10 10:41:00,6.520544502564007e-06
2020-03-12 10:04:49,5.746386795371657e-06
2020-03-12 11:44:50,3.470414640105446e-06
2020-03-13 09:44:50,7.240749687555862e-06
2020-03-13 11:24:49,1.0805940485907501e-05
2020-03-14 09:28:44,1.0900467714236584e-05
2020-03-14 11:08:44,6.673001735180151e-06
2020-03-15 09:08:44,5.4621413370751675e-06
2020-03-17 08:28:45,4.682383714743658e-06
2020-03-17 10:08:44,6.228228322522392e-06
2020-03-17 11:53:44,5.353236741379069e-06
2020-03-18 08:13:44,2.1541101512797747e-05
2020-03-18 09:53:44,1.679710840107873e-05
2020-03-18 11:33:45,1.6653598658404792e-05
2020-03-19 07:53:45,1.5435564098186416e-05
2020-03-19 09:33:44,1.2636240857964542e-05
2020-03-19 11:13:45,4.6304064882128005e-06
2020-03-20 09:13:44,1.3547664821089711e-05
2020-03-20 10:53:44,7.582366551557495e-06
2020-03-20 12:38:44,5.22336368868241e-06
2020-03-21 08:53:44,3.400979445280996e-06
2020-03-21 12:18:44,-3.7954905565129593e-06
2020-03-23 06:38:44,3.7194979540799977e-06
2020-03-23 08:18:45,1.927023634094892e-06
2020-03-23 09:58:44,1.2231725823701297e-06
2020-03-23 11:38:44,-1.3891976496334288e-06
2020-03-24 11:18:44,1.696026993158739e-05
2020-03-26 07:23:44,4.773459750140319e-06
2020-03-26 09:03:44,6.157518801260274e-06
2020-03-26 10:43:44,5.41003240992065e-06
2020-03-26 12:23:44,8.041102054253587e-06
2020-03-27 07:03:45,7.139504759834381e-06
2020-03-27 08:43:44,3.372605988261057e-06
2020-03-27 10:23:44,6.052711796655785e-06
2020-03-27 12:03:44,4.955138161452469e-06
2020-03-29 06:23:44,3.7306125477698515e-07
2020-03-29 08:03:44,3.3413407515683983e-06
2020-03-29 09:43:44,-2.4360094812436728e-06
2020-03-29 11:28:44,-2.62721095994328e-06
2020-03-30 06:08:44,3.094183517271089e-06
2020-03-30 07:48:45,2.561928567956784e-06
2020-03-30 09:28:44,2.7538437767862933e-06
2020-03-30 11:08:45,1.2647170706259203e-06
2020-03-31 05:48:44,1.7394972928741481e-06
2020-03-31 07:28:44,3.005193436502969e-06
2020-03-31 09:08:44,3.262303497633922e-06
2020-03-31 10:48:44,1.071065092465415e-06
2020-03-31 12:28:44,2.5574386398538435e-06
2020-04-01 07:08:44,2.556831145024032e-06
2020-04-01 08:48:44,3.346133098602877e-06
2020-04-01 10:28:44,2.2852650545246433e-06
2020-04-01 12:13:44,5.434913009776113e-06
2020-04-02 06:48:44,5.57759450032798e-06
2020-04-02 08:28:44,6.7976766968807655e-06
2020-04-02 10:08:45,4.767431619256968e-06
2020-04-04 07:54:43,2.3708966828526086e-06
2020-04-04 09:34:42,9.616416160117301e-06
2020-04-04 11:14:42,3.1442757042377093e-06
2020-04-06 05:34:42,-7.77815033282877e-07
2020-04-06 07:14:42,-1.8912209043264738e-07
2020-04-06 08:54:43,1.5808282114448957e-06
2020-04-06 10:34:42,1.4450781691266457e-06
2020-04-06 12:19:42,-2.6280122225009553e-06
2020-04-07 05:14:43,-4.464903671446417e-06
2020-04-08 04:59:42,-2.5704591346927188e-06
2020-04-08 06:39:42,3.179301529598888e-06
2020-04-08 08:19:43,9.160484340682699e-06
2020-04-08 09:59:42,1.0413618838356342e-05
2020-04-08 11:39:42,8.937126040109433e-06
2020-04-09 06:19:42,1.9967224318406807e-08
2020-04-09 07:59:42,2.201469097208123e-06
2020-04-09 09:39:42,3.2290299898041326e-06
2020-04-09 11:19:42,4.742479632113827e-06
2020-04-11 05:39:42,1.5597694067169368e-06
2020-04-11 07:19:42,3.678676876006648e-06
2020-04-11 08:59:43,1.7530893887788301e-06
2020-04-11 10:44:42,5.521472654201835e-06
2020-04-11 12:24:42,5.2256209528422914e-06
2020-04-12 05:24:42,7.094680128570512e-07
2020-04-12 07:04:43,3.62519108421111e-06
2020-04-12 08:44:42,2.3493828393839067e-06
2020-04-12 10:24:43,4.801631803275086e-06
2020-04-12 12:04:42,5.293591155999717e-06
2020-04-13 05:04:43,4.905578459507035e-07
2020-04-13 06:44:42,3.7397784035032166e-06
2020-04-13 08:24:42,5.82850435418147e-06
2020-04-13 10:04:42,1.0249081279815167e-05
2020-04-13 11:44:42,1.1309811229557919e-05
2020-04-14 11:24:43,4.1101347037923655e-06
2020-04-15 07:44:42,3.5222005863033705e-06
2020-04-15 09:24:42,8.591195182816591e-06
2020-04-16 05:49:43,1.9729133887105586e-06
2020-04-16 07:29:43,3.12793751808332e-06
2020-04-16 09:09:42,4.825409126200225e-06
2020-04-17 08:49:42,-1.0455942174303345e-06
2020-04-17 10:29:42,6.8452998971883355e-06
2020-04-18 08:29:42,5.232032206296431e-06
2020-04-19 04:49:42,-7.899497177277226e-06
2020-04-19 06:29:42,1.4141730826293138e-06
2020-04-19 08:09:42,5.818696483036512e-06
2020-04-19 09:49:42,2.404724455118412e-06
2020-04-19 11:34:42,9.762929381833285e-07
2020-04-20 04:34:42,-2.512226959203325e-05
2020-04-20 07:54:43,-2.9447828556092593e-06
2020-04-20 09:34:43,-1.8734106106421677e-06
2020-04-21 07:34:43,-2.762702251857263e-06
2020-04-21 09:14:42,-2.7045209192976045e-06
2020-04-21 10:54:42,-9.695414744741948e-07
2020-04-21 12:34:43,4.357731540949317e-06
2020-04-22 03:54:43,-1.6165970605837712e-05
2020-04-22 05:34:42,-1.4845497389615048e-05
2020-04-22 07:14:42,-1.6143824316556808e-07
2020-04-22 08:54:42,1.0732864358378545e-06
2020-04-22 10:34:42,-8.988539548226981e-07
2020-04-22 12:19:42,3.118656422884669e-06
2020-04-23 03:34:43,-1.3001353006312559e-05
2020-04-23 05:14:43,-1.8576683942228556e-06
2020-04-23 06:54:42,-3.847870630124817e-06
2020-04-23 08:34:42,1.2362654345744252e-06
2020-04-23 10:14:42,-8.634326036371931e-07
2020-04-23 10:19:42,-8.634326036371931e-07
2020-04-24 06:39:42,5.391770628193626e-06
2020-04-24 08:19:42,5.117237851070225e-06
2020-04-24 09:59:42,7.011446488203999e-06
2020-04-26 05:59:43,7.772774755249258e-06
2020-04-26 07:39:42,7.614418791490607e-06
2020-04-26 09:19:42,5.4648595163390885e-06
2020-04-26 10:59:42,6.758613744329211e-06
2020-04-27 05:39:42,-1.5818379957521846e-06
