date,mean
2019-03-12 09:28:25,9.082368947577437e-06
2019-03-12 11:08:26,8.399241778533906e-06
2019-03-13 09:08:26,8.136883768095475e-06
2019-03-14 08:48:25,4.573401225994266e-06
2019-03-14 10:28:26,5.684690612065534e-06
2019-03-15 08:28:26,2.261714618409209e-06
2019-03-15 10:13:25,-1.0709299588303059e-07
2019-03-15 11:53:26,4.259282491148042e-07
2019-03-29 07:28:26,-2.5214242566283303e-06
2019-03-29 09:08:27,-2.257399866884534e-06
2019-03-29 10:48:27,-5.245316970103886e-06
2019-03-29 12:28:26,-6.579444288945524e-06
2019-04-02 06:13:26,-2.564201167842839e-06
2019-04-02 07:53:27,3.1124476055825116e-06
2019-04-02 09:33:26,2.7194835183763644e-06
2019-04-03 07:33:57,1.7289061133851646e-06
2019-04-03 09:13:57,2.138104946425301e-06
2019-04-04 07:16:25,5.055909241491463e-06
2019-04-04 08:56:24,1.0299924724677112e-05
2019-04-04 10:36:25,9.40357585932361e-06
2019-04-04 12:16:24,1.3189045215805191e-05
2019-04-05 08:36:24,9.402156138094142e-06
2019-04-05 10:16:24,9.646336366131436e-06
2019-04-05 11:56:25,1.1936437658732757e-05
2019-04-07 08:01:24,8.562533366784919e-06
2019-04-07 09:41:25,1.2553045053209644e-05
2019-04-07 11:21:24,9.671929547039326e-06
2019-04-10 10:21:25,6.55149765868045e-06
2019-04-12 04:46:24,2.039992779145905e-07
2019-04-12 06:26:25,5.365022843761835e-06
2019-04-12 08:06:24,5.095559572509956e-06
2019-04-12 09:46:24,3.882055352733005e-06
2019-04-12 11:26:25,5.9409144341771025e-06
2019-04-13 07:46:24,1.1222687135159504e-05
2019-04-13 09:26:25,9.197717456226138e-06
2019-04-13 11:06:24,1.0983730135194492e-05
2019-04-15 08:50:53,7.189699336198923e-06
2019-04-16 06:51:30,7.032056838912328e-06
2019-04-16 08:31:30,8.73702881956547e-06
2019-04-17 04:51:30,-4.463374352781102e-06
2019-04-17 08:11:29,8.157245254729948e-06
2019-04-17 09:51:30,9.615483886884792e-06
2019-04-17 11:31:30,8.649133380719526e-06
2019-05-07 03:38:14,-5.417590728029609e-06
2019-05-07 05:18:13,-4.765679932461353e-06
2019-05-07 06:58:14,-5.46401179235545e-06
2019-05-07 08:38:13,-3.823936704629672e-06
2019-05-07 10:18:14,-2.740101610220205e-06
2019-05-07 11:58:13,-8.72067460022663e-07
2019-05-08 06:38:14,-3.1058184504217934e-06
2019-05-08 08:18:14,-2.223255933131441e-06
2019-05-08 09:58:13,1.6266587863356108e-06
2019-05-08 11:38:13,9.534760891938276e-08
2019-05-09 04:38:13,-2.3817017336114077e-06
2019-05-09 06:18:14,2.3488196276844064e-08
2019-05-09 07:58:13,-7.685368334117505e-07
2019-05-09 09:38:13,1.2211946574000588e-06
2019-05-10 04:18:14,-5.677737389259823e-06
2019-05-10 05:58:14,-4.450945766883772e-06
